,Name,State,Network,County,Elevation_ft,Latitude,Longitude
5,Adin Mtn,California,SNOTEL,Modoc,6190,41.23583,-120.79192
203,Blue Lakes,California,SNOTEL,Alpine,8067,38.608,-119.92437
293,Burnside Lake,California,SNOTEL,Alpine,8129,38.71943,-119.8942
324,Carson Pass,California,SNOTEL,Alpine,8360,38.6927,-120.0022
343,Cedar Pass,California,SNOTEL,Modoc,7030,41.58233,-120.3025
475,Crowder Flat,California,SNOTEL,Modoc,5170,41.89318,-120.75202
477,Css Lab,California,SNOTEL,Nevada,6894,39.32565,-120.36807
531,Dismal Swamp,California,SNOTEL,Modoc,7360,41.99127,-120.18033
587,Ebbetts Pass,California,SNOTEL,Alpine,8661,38.5497,-119.80468
589,Echo Peak,California,SNOTEL,El Dorado,7653,38.849,-120.0795
628,Fallen Leaf,California,SNOTEL,El Dorado,6242,38.93403,-120.0545
670,Forestdale Creek,California,SNOTEL,Alpine,8017,38.68245,-119.9597
689,Fredonyer Peak,California,SNOTEL,Lassen,7208,40.68799,-120.60805
802,Hagans Meadow,California,SNOTEL,El Dorado,7742,38.8519,-119.9374
830,Heavenly Valley,California,SNOTEL,El Dorado,8534,38.92431,-119.91641
874,Horse Meadow,California,SNOTEL,Alpine,8557,38.83652,-119.88732
905,Independence Camp,California,SNOTEL,Sierra,6980,39.45269,-120.29367
906,Independence Creek,California,SNOTEL,Sierra,6436,39.49001,-120.28226
907,Independence Lake,California,SNOTEL,Nevada,8338,39.42752,-120.31342
1045,Leavitt Lake,California,SNOTEL,Mono,9604,38.27594,-119.61281
1046,Leavitt Meadows,California,SNOTEL,Mono,7198,38.30367,-119.55111
1089,Lobdell Lake,California,SNOTEL,Mono,9249,38.43745,-119.36572
1268,Monitor Pass,California,SNOTEL,Alpine,8306,38.6683,-119.6087
1441,Palisades Tahoe,California,SNOTEL,Placer,8013,39.18986,-120.26576
1513,Poison Flat,California,SNOTEL,Alpine,7736,38.50576,-119.62624
1647,Rubicon #2,California,SNOTEL,El Dorado,7619,38.99927,-120.13139
1789,Sonora Pass,California,SNOTEL,Mono,8770,38.31021,-119.6003
1806,Spratt Creek,California,SNOTEL,Alpine,6063,38.66627,-119.81741
1833,State Line,California,SNOTEL,Modoc,5680,41.98609,-120.71574
1865,Summit Meadow,California,SNOTEL,Alpine,9313,38.39747,-119.53522
1891,Tahoe City Cross,California,SNOTEL,Placer,6797,39.17162,-120.15362
1998,Truckee #2,California,SNOTEL,Placer,6509,39.30087,-120.18407
2069,Virginia Lakes Ridge,California,SNOTEL,Mono,9400,38.07298,-119.23433
2081,Ward Creek #3,California,SNOTEL,Placer,6745,39.13545,-120.21865
